Timestamp,The Big Bang Theory,Brooklyn 99,It's Always Sunny in Philadelphia,The Goldbergs,Unbreakable Kimmy Schmidt
6/6/2018 13:18:09,1,5,,2,3
6/6/2018 13:19:14,3,2,3,2,1
6/6/2018 13:19:45,4,,,,
6/6/2018 13:20:07,1,4,,3,5
6/6/2018 13:20:30,2,,2,,3
6/6/2018 13:26:24,1,3,,3,4
6/6/2018 13:36:34,3,4,1,1,2
6/6/2018 13:38:34,5,,,,5
6/6/2018 14:09:48,3,,1,1,
6/6/2018 14:16:36,3,5,,,
6/6/2018 14:47:10,5,,4,,3
6/6/2018 15:09:17,2,5,3,,4
6/6/2018 15:13:35,5,,2,5,3
6/6/2018 15:20:49,5,,,,
6/6/2018 15:21:37,3,5,4,3,3
6/6/2018 15:35:56,5,4,,4,5
6/6/2018 16:13:39,5,2,1,3,1
6/6/2018 16:22:43,4,5,5,4,4
6/6/2018 19:50:10,2,5,4,5,3
6/6/2018 20:04:09,,,,,5
6/6/2018 22:14:43,3,1,3,2,1
6/6/2018 23:23:08,3,4,,,4
6/7/2018 1:34:04,5,1,,3,
6/7/2018 11:39:11,4,1,1,1,1